TUBERCULOSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Ano Notificação e UF de residência
Período:2009-2018
"Ano Notificação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"IG";"Total"
"2010";573;335;2736;138;4154;214;215;2498;873;4295;1103;1320;5212;1344;619;6505;4451;1468;14196;18226;2774;2059;6146;918;1356;1055;326;73;85182
"2011";677;388;2699;162;4382;253;228;2574;928;4376;1238;1408;5357;1365;656;6446;4594;1431;14267;19019;2747;2177;6320;1045;1350;1057;360;68;87572
"2012";693;397;2831;133;4085;244;203;2269;839;4258;1218;1401;5682;1333;604;6051;4289;1451;14112;18588;2513;2248;6388;1090;1561;1115;437;71;86104
"2013";709;379;3072;165;4182;210;201;2394;818;4072;1274;1446;5494;1320;703;5765;4202;1374;13481;19791;2631;2277;6339;1095;1892;1125;363;61;86835
"2014";683;419;3156;143;3989;204;194;2140;755;3879;1193;1326;5464;1273;791;5683;4216;1313;13050;19665;2548;2236;6392;992;1813;1046;435;1;84999
"2015";647;376;3417;168;4013;217;182;2322;720;4012;1145;1234;5648;1073;757;5328;4013;1385;13296;20357;2487;2139;6396;1005;1414;1130;393;53;85327
"2016";769;427;3296;161;4245;271;211;2460;743;4032;1182;1224;5539;1228;784;5277;4067;1237;13536;20339;2446;2211;6032;1132;1513;1077;383;62;85884
"2017";764;491;3689;209;4549;295;188;2544;769;4316;1329;1364;6289;1303;822;5503;4087;1322;14088;22027;2468;2251;6523;1128;1417;1189;352;64;91340
"2018";695;484;3779;263;4740;269;237;2698;838;4561;1598;1539;6478;1333;974;5658;4214;1476;14754;22205;2847;2249;6860;1445;1398;1267;418;59;95336
"2019";15;17;51;6;79;7;10;98;42;191;83;45;252;96;51;249;86;54;538;715;95;174;307;59;59;37;28;4;3448
"2020";2;1;1;-;1;-;-;2;-;11;20;1;9;7;4;8;4;6;47;6;2;19;21;4;6;6;1;-;189
"2021";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"Total";6867;4063;31299;1687;42468;2432;2089;24467;8233;42451;12551;13581;56228;13022;7411;59222;42966;13906;139211;198295;26224;21936;63670;10935;14883;11121;3820;577;875615
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Excluídos os registros encerrados com mudança de diagnóstico.
 Períodos disponíveis - Correspondem aos anos de diagnóstico dos casos.
 Para tabular dados epidemiológicos de um determinado ano selecione na linha a variável de interesse, e na coluna a variável “Ano do diagnóstico”; em “Períodos Disponíveis” assinale o ano inicial da série e todos os posteriores até o ano atual (para
 Para cálculo da incidência selecione o local de residência e as seguintes categorias da variável “Tipo de entrada”: caso novo, não sabe e pós óbito.
 A variável “Beneficiário de programa de transferência de renda do governo” não contém dados do Estado de São Paulo (SP). Quanto a variável “Terapia antirretroviral durante o tratamento da TB”, os dados do estado de SP foram inseridos a partir do seg
 Não é possível calcular indicadores relacionados aos contatos de tuberculose.
 Em 2014, foram incluídas as seguintes variáveis no Sinan-Net (Tuberculose): populações especiais (população privada de liberdade, população em situação de rua, profissional de saúde e imigrante), doenças e agravos associados (uso de drogas ilícitas
 A variável “institucionalizado” foi descontinuada em 2015. Portanto, para análise referente à população privada de liberdade após esse período, utilizar a variável “PPL” (população privada de liberdade).
 Para informações detalhadas sobre o Sinan-Tuberculose e sobre as análises de indicadores epidemiológicos e operacionais da tuberculose, acessar o link: http://portalsinan.saude.gov.br/tuberculose
 Em caso de dúvidas, encaminhar e-mail para: tuberculose@saude.gov.br
 Dados de 2001 a 2016 estão finalizados.
 Dados de 2017 a 2020 atualizados em 02/2021, sujeitos à revisão.
 Dados de 2020 referentes ao estado do Espírito Santo são oriundos do Sistema de Informação e-SUS VS, em uso pelo estado desde janeiro de 2020. Variáveis de acompanhamento e encerramento são indisponíveis nesse sistema.
 Dados disponibilizados no TABNET em 04/2021, após homologação da Coordenação Geral de Vigilância das Doenças de Transmissão Respiratória de Condições Crônicas/DCCI/SVS.
 
